artist,title,discID,file,trackNo,christmas
Mnek,Tongue,Sf387 (May 2018),D:/KSJ/sort (NEW)/SF387(May 2018)/MNEK - Tongue.cdg,,FALSE
Noel Gallagher's High Flying Birds,It's A Beautiful World,Sf386 (April 2018),D:/KSJ/sort (NEW)/SF386(April 2018)/Noel Gallagher's High Flying Birds - It's a Beautiful World.cdg,15,FALSE
Paloma Faith,Til I'm Done,Sf386 (April 2018),D:/KSJ/sort (NEW)/SF386(April 2018)/Paloma Faith - Til I'm Done.cdg,16,FALSE
Portugal The Man,Feel It Still,Sf386 (April 2018),D:/KSJ/sort (NEW)/SF386(April 2018)/Portugal the Man - Feel it Still.cdg,17,FALSE
Post Malone,Psycho,Sf387 (May 2018),D:/KSJ/sort (NEW)/SF387(May 2018)/Post Malone - Psycho.cdg,,FALSE
Ramz,Barking,Sf386 (April 2018),D:/KSJ/sort (NEW)/SF386(April 2018)/Ramz - Barking.cdg,18,FALSE
Rudimental Ft Macklemore W~ Jess Glynne & Dan Caplan,These Days,Sf386 (April 2018),D:/KSJ/sort (NEW)/SF386(April 2018)/Rudimental ft Macklemore w~ Jess Glynne & Dan Caplan - These Days.cdg,19,FALSE
Sigala,Lullaby,Sf387 (May 2018),D:/KSJ/sort (NEW)/SF387(May 2018)/Sigala - Lullaby.cdg,,FALSE
Sigrid,Strangers,Sf384 (Febuary 2018),D:/KSJ/sort (NEW)/SF384(Febuary 2018)/Sigrid - Strangers.cdg,,FALSE
Superorganism,Everybody Wants To Be Famous,Sf387 (May 2018),D:/KSJ/sort (NEW)/SF387(May 2018)/Superorganism - Everybody Wants To Be Famous.cdg,,FALSE
Surie,Storm (Uk Eurovision 2018),Sf386 (April 2018),D:/KSJ/sort (NEW)/SF386(April 2018)/SuRie - Storm (UK Eurovision 2018).cdg,,FALSE
Tenacious D,Tribute,New Songs (Sort),D:/KSJ/sort (NEW)/NEW SONGS (sort)/Tenacious D - Tribute - 29229.cdg,,FALSE
Tenacious D,Tribute (Live),New Songs (Sort),D:/KSJ/sort (NEW)/NEW SONGS (sort)/Tenacious D - Tribute (Live) - 49081.cdg,,FALSE
The Greatest Showman,The Greatest Show,New Songs (Sort),D:/KSJ/sort (NEW)/NEW SONGS (sort)/The Greatest Showman - The Greatest Show - 54921.cdg,,FALSE
The Greatest Showman,A Million Dreams,New Songs (Sort),D:/KSJ/sort (NEW)/NEW SONGS (sort)/The Greatest Showman - A Million Dreams - 54922.cdg,,FALSE
The Greatest Showman,Come Alive,New Songs (Sort),D:/KSJ/sort (NEW)/NEW SONGS (sort)/The Greatest Showman - Come Alive - 54923.cdg,,FALSE
The Greatest Showman,From Now On,New Songs (Sort),D:/KSJ/sort (NEW)/NEW SONGS (sort)/The Greatest Showman - From Now On - 54925.cdg,,FALSE
